threshold,precision,recall,f1,accuracy
0.0,0.335,1.0,0.50187265917603,0.335
0.05555555555555555,0.3526315789473684,1.0,0.5214007782101168,0.385
0.1111111111111111,0.41509433962264153,0.9850746268656716,0.5840707964601769,0.53
0.16666666666666666,0.47794117647058826,0.9701492537313433,0.6403940886699508,0.635
0.2222222222222222,0.512396694214876,0.9253731343283582,0.6595744680851062,0.68
0.2777777777777778,0.5384615384615384,0.835820895522388,0.6549707602339181,0.705
0.3333333333333333,0.5730337078651685,0.7611940298507462,0.6538461538461537,0.73
0.38888888888888884,0.6049382716049383,0.7313432835820896,0.6621621621621622,0.75
0.4444444444444444,0.6285714285714286,0.6567164179104478,0.6423357664233577,0.755
0.5,0.6885245901639344,0.6268656716417911,0.6562500000000001,0.78
0.5555555555555556,0.6727272727272727,0.5522388059701493,0.6065573770491803,0.76
0.611111111111111,0.775,0.4626865671641791,0.5794392523364486,0.775
0.6666666666666666,0.7857142857142857,0.3283582089552239,0.46315789473684216,0.745
0.7222222222222222,0.8571428571428571,0.26865671641791045,0.40909090909090906,0.74
0.7777777777777777,0.8666666666666667,0.19402985074626866,0.3170731707317074,0.72
0.8333333333333333,0.75,0.04477611940298507,0.08450704225352113,0.675
0.8888888888888888,1.0,0.014925373134328358,0.029411764705882353,0.67
0.9444444444444444,0.0,0.0,0.0,0.665
1.0,0.0,0.0,0.0,0.665
